,product_type,description
435,foundation,studio makeup artist spill secret powder genius container release perfect amount every twist skip powdered cakey look even hd camera see sheer layer medium coverage always flawless tap powder palm add drop water use makeup sponge apply thick layer area want highlight let set sweep away excess oil free talc free paraben free fresh powder every time twist shaver swirl brush powder apply face formulated without parabens sodium lauryl sulfate phthalates oil fragrance talc ingredient mica ethylhexyl palmitate coco caprylate caprate polymethylsilsesquioxane hdi trimethylol hexyllactone crosspolymer zinc stearate synthetic wax water aqua eau hydroxylated lecithin lycium barbarum fruit extract peat extract gold palmitoyl hexapeptide silica polyethylene dimethylacrylamide acrylic acid polystyrene ethyl methacrylate copolymer barium sulfate dimethyl isosorbide hexylene glycol caprylyl glycol butylene glycol ethoxydiglycol disodium edta sodium dehydroacetate phenoxyethanol potassium sorbate sodium benzoate titanium dioxide ci iron oxide ci iron oxide ci iron oxide ci blue lake ci carmine ci manganese violet ci yellow lake ci ilniln please aware ingredient list may change vary time time please refer ingredient list product package receive date list ingredient studio makeup artist spill secret powder genius container release perfect amount every twist skip powdered cakey look even hd camera see sheer layer medium coverage always flawless tap powder palm add drop water use makeup sponge apply thick layer area want highlight let set sweep away excess oil free talc free paraben free fresh powder every time twist shaver swirl brush powder apply face formulated without parabens sodium lauryl sulfate phthalates oil fragrance talc ingredient mica ethylhexyl palmitate coco caprylate caprate polymethylsilsesquioxane hdi trimethylol hexyllactone crosspolymer zinc stearate synthetic wax water aqua eau hydroxylated lecithin lycium barbarum fruit extract peat extract gold palmitoyl hexapeptide silica polyethylene dimethylacrylamide acrylic acid polystyrene ethyl methacrylate copolymer barium sulfate dimethyl isosorbide hexylene glycol caprylyl glycol butylene glycol ethoxydiglycol disodium edta sodium dehydroacetate phenoxyethanol potassium sorbate sodium benzoate titanium dioxide ci iron oxide ci iron oxide ci iron oxide ci blue lake ci carmine ci manganese violet ci yellow lake ci ilniln please aware ingredient list may change vary time time please refer ingredient list product package receive date list ingredient
436,foundation,hey even model imperfection hd camera capture everything studio pro developed long wearing sweat resistant formula evolve camera capability give flawless sheer medium coverage undetectable naked eye foundation even skin liquid light technology natural luminous finish hd ready flash work undertone buildable sheer medium coverage long wearing moisturizing sweat humidity resistant bonus makeup always look better primer included free sample award winning photo finish foundation primer inside starting center face apply liquid halo hd foundation build desired coverage formulated without parabens sodium lauryl sulfate phthalates oil fragrance talc active ingredient octinoxate titanium dioxide ingredient water aqua eau isododecane cyclopentasiloxane dimethicone butylene glycol polymethyl methacrylate trioctyldodecyl citrate polysilicone coco caprylate caprate peg ppg dimethicone polyglyceryl isostearate sodium hyaluronate ascorbyl palmitate cetyl peg ppg dimethicone hexyl laurate quaternium bentonite dimethicone silylate magnesium aluminum silicate alumina silica propylene carbonate sodium chloride caprylyl glycol hexylene glycol stearic acid palmitic acid c alcohol hydrogenated lecithin disodium edta phenoxyethanol mica titanium dioxide ci iron oxide ci iron oxide ci iron oxide ci ilniln please aware ingredient list may change vary time time please refer ingredient list product package receive date list ingredient hey even model imperfection hd camera capture everything studio pro developed long wearing sweat resistant formula evolve camera capability give flawless sheer medium coverage undetectable naked eye foundation even skin liquid light technology natural luminous finish hd ready flash work undertone buildable sheer medium coverage long wearing moisturizing sweat humidity resistant bonus makeup always look better primer included free sample award winning photo finish foundation primer inside starting center face apply liquid halo hd foundation build desired coverage formulated without parabens sodium lauryl sulfate phthalates oil fragrance talc active ingredient octinoxate titanium dioxide ingredient water aqua eau isododecane cyclopentasiloxane dimethicone butylene glycol polymethyl methacrylate trioctyldodecyl citrate polysilicone coco caprylate caprate peg ppg dimethicone polyglyceryl isostearate sodium hyaluronate ascorbyl palmitate cetyl peg ppg dimethicone hexyl laurate quaternium bentonite dimethicone silylate magnesium aluminum silicate alumina silica propylene carbonate sodium chloride caprylyl glycol hexylene glycol stearic acid palmitic acid c alcohol hydrogenated lecithin disodium edta phenoxyethanol mica titanium dioxide ci iron oxide ci iron oxide ci iron oxide ci ilniln please aware ingredient list may change vary time time please refer ingredient list product package receive date list ingredient
437,foundation,l photo studio love tinted timesaver silky lightweight formula glide coverage makeup benefit skin care instantly brighter complexion one step pat fuller coverage prime perfect moisturizes creates radiance protects spf instantly brightens skin neutralizes redness visibly fade dark spot sun spot post acne mark instantly time apply pea sized amount face lightly blend fingertip formulated without parabens sodium lauryl sulfate phthalates oil fragrance talc active ingredient octinoxate octisalate oxybenzone titanium dioxide ingredient water aqua eau dimethicone butylene glycol propanediol glyceryl stearate phenyl trimethicone behenyl alcohol trioctyldodecyl citrate polymethylsilsesquioxane ascorbyl glucoside peg stearate polyglyceryl pentastearate octyldodecyl stearoyl stearate hordeum vulgare barley extract extrait orge triticum vulgare wheat germ extract glycyrrhiza glabra licorice root extract pyrus malus apple fruit extract cucumis sativus cucumber fruit extract octyldodecyl neopentanoate ammonium acryloyldimethyltaurate vp copolymer polyglyceryl polyricinoleate laminaria saccharina extract glycyrrhetinic acid sucrose scutellaria baicalensis root extract lecithin sodium stearoyl lactylate caffeine acetyl hexapeptide cholesterol tocopheryl acetate tetrahexyldecyl ascorbate tocopheryl linoleate oleate linoleic acid dimethoxytolyl propylresorcinol squalane sodium pca urea bisabolol isopropyl titanium triisostearate glycerin oryzanol sodium hyaluronate trehalose polyquaternium stearic acid silica ergothioneine xanthan gum pentaerythrityl tetra di butyl hydroxyhydrocinnamate alumina disodium edta phenoxyethanol sodium dehydroacetate chlorphenesin iron oxide ci zinc oxide ci titanium dioxide ci iron oxide ci iron oxide ci ilniln please aware ingredient list may change vary time time please refer ingredient list product package receive date list ingredient l photo studio love tinted timesaver silky lightweight formula glide coverage makeup benefit skin care instantly brighter complexion one step pat fuller coverage prime perfect moisturizes creates radiance protects spf instantly brightens skin neutralizes redness visibly fade dark spot sun spot post acne mark instantly time apply pea sized amount face lightly blend fingertip formulated without parabens sodium lauryl sulfate phthalates oil fragrance talc active ingredient octinoxate octisalate oxybenzone titanium dioxide ingredient water aqua eau dimethicone butylene glycol propanediol glyceryl stearate phenyl trimethicone behenyl alcohol trioctyldodecyl citrate polymethylsilsesquioxane ascorbyl glucoside peg stearate polyglyceryl pentastearate octyldodecyl stearoyl stearate hordeum vulgare barley extract extrait orge triticum vulgare wheat germ extract glycyrrhiza glabra licorice root extract pyrus malus apple fruit extract cucumis sativus cucumber fruit extract octyldodecyl neopentanoate ammonium acryloyldimethyltaurate vp copolymer polyglyceryl polyricinoleate laminaria saccharina extract glycyrrhetinic acid sucrose scutellaria baicalensis root extract lecithin sodium stearoyl lactylate caffeine acetyl hexapeptide cholesterol tocopheryl acetate tetrahexyldecyl ascorbate tocopheryl linoleate oleate linoleic acid dimethoxytolyl propylresorcinol squalane sodium pca urea bisabolol isopropyl titanium triisostearate glycerin oryzanol sodium hyaluronate trehalose polyquaternium stearic acid silica ergothioneine xanthan gum pentaerythrityl tetra di butyl hydroxyhydrocinnamate alumina disodium edta phenoxyethanol sodium dehydroacetate chlorphenesin iron oxide ci zinc oxide ci titanium dioxide ci iron oxide ci iron oxide ci ilniln please aware ingredient list may change vary time time please refer ingredient list product package receive date list ingredient
438,foundation,wonder model l photo studio hoard miracle worker bb cream cut prep time instantly creates even radiant skin pat fuller coverage prime perfect hydrate banishes shine protects spf reduces appearance fine line wrinkle week wear alone foundation coverage apply pea sized amount face lightly blend fingertip formulated without parabens sodium lauryl sulfate phthalates oil fragrance talc active ingredient octinoxate octisalate oxybenzone titanium dioxide ingredient water aqua eau dimethicone butylene glycol phenyl trimethicone pentylene glycol glyceryl stearate behenyl alcohol trioctyldodecyl citrate polymethylsilsesquioxane octyldodecyl stearoyl stearate peg stearate polyglyceryl pentastearate ammonium acryloyldimethyltaurate vp copolymer triticum vulgare wheat germ extract hordeum vulgare barley extract extrait orge cucumis sativus cucumber fruit extract laminaria saccharina extract pyrus malus apple fruit extract scutellaria baicalensis root extract polyquaternium acetyl hexapeptide trehalose oryzanol octyldodecyl neopentanoate urea polyglyceryl polyricinoleate propylene glycol laurate glycyrrhetinic acid tocopheryl acetate sucrose glycerin sodium stearoyl lactylate caffeine linoleic acid cholesterol lecithin squalane sodium pca isopropyl titanium triisostearate propylene glycol stearate stearic acid polysorbate sorbitan laurate xanthan gum aluminum hydroxide sodium hyaluronate silica disodium edta pentaerythrityl tetra di butyl hydroxyhydrocinnamate sodium dehydroacetate chlorphenesin phenoxyethanol titanium dioxide ci zinc oxide ci iron oxide ci ci ci mica ilniln please aware ingredient list may change vary time time please refer ingredient list product package receive date list ingredient wonder model l photo studio hoard miracle worker bb cream cut prep time instantly creates even radiant skin pat fuller coverage prime perfect hydrate banishes shine protects spf reduces appearance fine line wrinkle week wear alone foundation coverage apply pea sized amount face lightly blend fingertip formulated without parabens sodium lauryl sulfate phthalates oil fragrance talc active ingredient octinoxate octisalate oxybenzone titanium dioxide ingredient water aqua eau dimethicone butylene glycol phenyl trimethicone pentylene glycol glyceryl stearate behenyl alcohol trioctyldodecyl citrate polymethylsilsesquioxane octyldodecyl stearoyl stearate peg stearate polyglyceryl pentastearate ammonium acryloyldimethyltaurate vp copolymer triticum vulgare wheat germ extract hordeum vulgare barley extract extrait orge cucumis sativus cucumber fruit extract laminaria saccharina extract pyrus malus apple fruit extract scutellaria baicalensis root extract polyquaternium acetyl hexapeptide trehalose oryzanol octyldodecyl neopentanoate urea polyglyceryl polyricinoleate propylene glycol laurate glycyrrhetinic acid tocopheryl acetate sucrose glycerin sodium stearoyl lactylate caffeine linoleic acid cholesterol lecithin squalane sodium pca isopropyl titanium triisostearate propylene glycol stearate stearic acid polysorbate sorbitan laurate xanthan gum aluminum hydroxide sodium hyaluronate silica disodium edta pentaerythrityl tetra di butyl hydroxyhydrocinnamate sodium dehydroacetate chlorphenesin phenoxyethanol titanium dioxide ci zinc oxide ci iron oxide ci ci ci mica ilniln please aware ingredient list may change vary time time please refer ingredient list product package receive date list ingredient
439,foundation,keep thing looking natural even spf l photo studio light created lightweight dewy bb yet water like hydrating formula complexion perfecting benefit cream drop pat fuller coverage prime perfect hydrate protects spf demi matte never flat finish buildable coverage photoset polymer create day wear oil alcohol free perfect skin type shake bottle well use dropper release drop back hand blend face fingertip formulated without parabens sodium lauryl sulfate phthalates oil fragrance talc active ingredient octinoxate titanium dioxide zinc oxide ingredient water aqua eau methyl trimethicone phenyl trimethicone silica butyloctyl salicylate dimethicone neopentyl glycol diheptanoate c alkyl benzoate butylene glycol dimethicone silylate lauryl peg polydimethylsiloxyethyl dimethicone ethylhexyl palmitate glycerin polysilicone tocopheryl acetate sodium hyaluronate lecithin citrullus vulgaris watermelon fruit extract lens esculenta lentil fruit extract pyrus malus apple fruit extract glycine soja soybean protein peg dimethicone sodium pca methicone triethyl citrate thermus thermophillus ferment laureth trimethylsiloxysilicate silica dimethyl silylate magnesium aluminum silicate polymethylsilsesquioxane triethoxycaprylylsilane dextrin disteardimonium hectorite xanthan gum sodium chloride dimethicone peg crosspolymer sodium lactate caprylyl glycol hexylene glycol zinc stearate litchi chinensis seed extract polyglutamic acid laminaria saccharina extract disodium edta sodium dehydroacetate phenoxyethanol potassium sorbate mica titanium dioxide ci iron oxide ci iron oxide ci iron oxide ci ilniln please aware ingredient list may change vary time time please refer ingredient list product package receive date list ingredient keep thing looking natural even spf l photo studio light created lightweight dewy bb yet water like hydrating formula complexion perfecting benefit cream drop pat fuller coverage prime perfect hydrate protects spf demi matte never flat finish buildable coverage photoset polymer create day wear oil alcohol free perfect skin type shake bottle well use dropper release drop back hand blend face fingertip formulated without parabens sodium lauryl sulfate phthalates oil fragrance talc active ingredient octinoxate titanium dioxide zinc oxide ingredient water aqua eau methyl trimethicone phenyl trimethicone silica butyloctyl salicylate dimethicone neopentyl glycol diheptanoate c alkyl benzoate butylene glycol dimethicone silylate lauryl peg polydimethylsiloxyethyl dimethicone ethylhexyl palmitate glycerin polysilicone tocopheryl acetate sodium hyaluronate lecithin citrullus vulgaris watermelon fruit extract lens esculenta lentil fruit extract pyrus malus apple fruit extract glycine soja soybean protein peg dimethicone sodium pca methicone triethyl citrate thermus thermophillus ferment laureth trimethylsiloxysilicate silica dimethyl silylate magnesium aluminum silicate polymethylsilsesquioxane triethoxycaprylylsilane dextrin disteardimonium hectorite xanthan gum sodium chloride dimethicone peg crosspolymer sodium lactate caprylyl glycol hexylene glycol zinc stearate litchi chinensis seed extract polyglutamic acid laminaria saccharina extract disodium edta sodium dehydroacetate phenoxyethanol potassium sorbate mica titanium dioxide ci iron oxide ci iron oxide ci iron oxide ci ilniln please aware ingredient list may change vary time time please refer ingredient list product package receive date list ingredient
440,foundation,created hydrating foundation l photo studio look good light prove brand flashbox lighting lab test perfect color consistency across shade blendable oil free formula natural finish medium full coverage look amazing hour throughout day lighting change makeup sheer coverage warm fingertip applyingmix drop face oil like photo finish primer oil custom blend create level dewy glow wantmedium full buildable coverageoil free hydrating formula without shinelight diffusing sphere blur imperfection sweat humidity resistantcolor true exercise resistant transfer proofblend well skin brush sponge fingertip starting center face build way customizable coverage created hydrating foundation l photo studio look good light prove brand flashbox lighting lab test perfect color consistency across shade blendable oil free formula natural finish medium full coverage look amazing hour throughout day lighting change makeup sheer coverage warm fingertip applyingmix drop face oil like photo finish primer oil custom blend create level dewy glow wantmedium full buildable coverageoil free hydrating formula without shinelight diffusing sphere blur imperfection sweat humidity resistantcolor true exercise resistant transfer proofblend well skin brush sponge fingertip starting center face build way customizable coverage
441,eye_makeup,come lash l photo studio need low maintenance high drama created mascara unique applicator brush one side comb bring long full clump free lash second rich pigment bind lash ultra intense look totally photo fabulous camera de curl unruly lash dragging mascara top side dual brush comb applicator intense deep black pigment use brush build thicken follow comb side define lengthen formulated without parabens sodium lauryl sulfate phthalates fragrance talc ingredient water aqua eau beeswax cera alba cire abeille stearic acid glyceryl stearate pvp vp eicosene copolymer tribehenin copernicia cerifera carnauba wax cera carnauba cire de carnauba glycerin tocopherol tocopheryl acetate prunus amygdalus dulcis sweet almond fruit extract dimethicone euphorbia cerifera candelilla wax candelilla cera cire de candelilla bi peg methyl ether dimethyl silane silica dimethyl silylate aminomethyl propanediol hydroxyethylcellulose synthetic beeswax disodium edta phenoxyethanol sodium benzoate sodium dehydroacetate potassium sorbate iron oxide ci iron oxide ci iron oxide ci ultramarine ci ilniln please aware ingredient list may change vary time time please refer ingredient list product package receive date list ingredient come lash l photo studio need low maintenance high drama created mascara unique applicator brush one side comb bring long full clump free lash second rich pigment bind lash ultra intense look totally photo fabulous camera de curl unruly lash dragging mascara top side dual brush comb applicator intense deep black pigment use brush build thicken follow comb side define lengthen formulated without parabens sodium lauryl sulfate phthalates fragrance talc ingredient water aqua eau beeswax cera alba cire abeille stearic acid glyceryl stearate pvp vp eicosene copolymer tribehenin copernicia cerifera carnauba wax cera carnauba cire de carnauba glycerin tocopherol tocopheryl acetate prunus amygdalus dulcis sweet almond fruit extract dimethicone euphorbia cerifera candelilla wax candelilla cera cire de candelilla bi peg methyl ether dimethyl silane silica dimethyl silylate aminomethyl propanediol hydroxyethylcellulose synthetic beeswax disodium edta phenoxyethanol sodium benzoate sodium dehydroacetate potassium sorbate iron oxide ci iron oxide ci iron oxide ci ultramarine ci ilniln please aware ingredient list may change vary time time please refer ingredient list product package receive date list ingredient
442,eye_makeup,sometimes emotion run high l photo studio developed long wearing waterproof mascara handle teary moment rainy day even dip pool high impact high gloss fiber rich product look flawless stay put hour also delivers length volume thickness without clumping smudging flaking swipe instant drama face flip brush vertical literally paint mascara individual lash specialty brush lengthens curl volumizes clump flake sweat humidity resistant starting base lash sweep mascara ingredient isododecane water aqua eau ptfe dimethicone silylate sorbitan olivate kaolin trisiloxane sorbitan tristearate polyisobutene silica silylate pantethine panthenol rosmarinus officinalis rosemary leaf extract trihydroxystearin diisopropyl adipate cholesterol methicone copernicia cerifera carnauba wax cera carnauba cire de carnauba microcrystalline wax cera microcristallina cire microcristalline nylon silica nylon trimethylsiloxysilicate polyethylene terephthalate propylene carbonate quaternium bentonite hectorite caprylyl glycol hexylene glycol phenoxyethanol magnesium salicylate mica titanium dioxide ci iron oxide ci ci ci bismuth oxychloride ci black ci blue ci blue lake ci carmine ci chromium hydroxide green ci chromium oxide green ci ferric ammonium ferrocyanide ci ferric ferrocyanide ci manganese violet ci ultramarine ci yellow ci yellow lake ci ilniln please aware ingredient list may change vary time time please refer ingredient list product package receive date list ingredient sometimes emotion run high l photo studio developed long wearing waterproof mascara handle teary moment rainy day even dip pool high impact high gloss fiber rich product look flawless stay put hour also delivers length volume thickness without clumping smudging flaking swipe instant drama face flip brush vertical literally paint mascara individual lash specialty brush lengthens curl volumizes clump flake sweat humidity resistant starting base lash sweep mascara ingredient isododecane water aqua eau ptfe dimethicone silylate sorbitan olivate kaolin trisiloxane sorbitan tristearate polyisobutene silica silylate pantethine panthenol rosmarinus officinalis rosemary leaf extract trihydroxystearin diisopropyl adipate cholesterol methicone copernicia cerifera carnauba wax cera carnauba cire de carnauba microcrystalline wax cera microcristallina cire microcristalline nylon silica nylon trimethylsiloxysilicate polyethylene terephthalate propylene carbonate quaternium bentonite hectorite caprylyl glycol hexylene glycol phenoxyethanol magnesium salicylate mica titanium dioxide ci iron oxide ci ci ci bismuth oxychloride ci black ci blue ci blue lake ci carmine ci chromium hydroxide green ci chromium oxide green ci ferric ammonium ferrocyanide ci ferric ferrocyanide ci manganese violet ci ultramarine ci yellow ci yellow lake ci ilniln please aware ingredient list may change vary time time please refer ingredient list product package receive date list ingredient
443,eye_makeup,high profile shoot l photo studio need sweep big glossy lash fast infused patent leather formula olive oil complex deliver insta soft lash bring fluttery fabulosity home come volume mantra crank every swipe give fiber rich length thickness without clump flake smudge flip brush vertical literally paint mascara individual lash big tapered brush grab lash root ultra coverage glossy fiber sculpt lash clumping smudging flaking starting base lash sweep mascara formulated without parabens sodium lauryl sulfate phthalates fragrance talc ingredient water aqua eau stearic acid copernicia cerifera carnauba wax cera carnauba cire de carnauba polyisobutene polyvinyl acetate glyceryl stearate paraffin silica aminomethyl propanediol polyester isostearic acid pvp hydrogenated olive oil olea europaea olive fruit oil olea europaea olive oil unsaponifiables cholesterol panthenol pantethine kaolin nylon laureth hydroxyethylcellulose vp eicosene copolymer simethicone sodium polyacrylate ptfe caprylyl glycol hexylene glycol pentaerythrityl tetra di butyl hydroxyhydrocinnamate polyaminopropyl biguanide chlorphenesin phenoxyethanol mica titanium dioxide ci iron oxide ci ci ci bismuth oxychloride ci black ci blue lake ci carmine ci chromium hydroxide green ci chromium oxide green ci ferric ammonium ferrocyanide ci ferric ferrocyanide ci manganese violet ci ultramarine ci yellow lake ci ilniln please aware ingredient list may change vary time time please refer ingredient list product package receive date list ingredient high profile shoot l photo studio need sweep big glossy lash fast infused patent leather formula olive oil complex deliver insta soft lash bring fluttery fabulosity home come volume mantra crank every swipe give fiber rich length thickness without clump flake smudge flip brush vertical literally paint mascara individual lash big tapered brush grab lash root ultra coverage glossy fiber sculpt lash clumping smudging flaking starting base lash sweep mascara formulated without parabens sodium lauryl sulfate phthalates fragrance talc ingredient water aqua eau stearic acid copernicia cerifera carnauba wax cera carnauba cire de carnauba polyisobutene polyvinyl acetate glyceryl stearate paraffin silica aminomethyl propanediol polyester isostearic acid pvp hydrogenated olive oil olea europaea olive fruit oil olea europaea olive oil unsaponifiables cholesterol panthenol pantethine kaolin nylon laureth hydroxyethylcellulose vp eicosene copolymer simethicone sodium polyacrylate ptfe caprylyl glycol hexylene glycol pentaerythrityl tetra di butyl hydroxyhydrocinnamate polyaminopropyl biguanide chlorphenesin phenoxyethanol mica titanium dioxide ci iron oxide ci ci ci bismuth oxychloride ci black ci blue lake ci carmine ci chromium hydroxide green ci chromium oxide green ci ferric ammonium ferrocyanide ci ferric ferrocyanide ci manganese violet ci ultramarine ci yellow lake ci ilniln please aware ingredient list may change vary time time please refer ingredient list product package receive date list ingredient
444,eye_makeup,created extreme close shot l photo studio lash hide extreme lengthening formula take lash barely make em stare kick corner lash micro tip falsie effect micro defining brush nabs every lash wavelength fiber stretch stroke clumping smudging flaking move brush zigzag motion coat lash base tip formulated without parabens sodium lauryl sulfate phthalates fragrance talc ingredient water aqua eau beeswax cera alba cire abeille glyceryl stearate copernicia cerifera carnauba wax cera carnauba cire de carnauba synthetic beeswax acrylate copolymer c acid triglyceride ricinus communis castor seed oil stearic acid palmitic acid acacia senegal gum butylene glycol aminomethyl propanol pisum sativum pea extract glycerin laureth nylon hydroxyethylcellulose myristic acid behenic acid arachidic acid oleic acid sodium dehydroacetate phenoxyethanol sodium benzoate mica titanium dioxide ci iron oxide ci iron oxide ci iron oxide ci bismuth oxychloride ci blue lake ci carmine ci chromium hydroxide green ci chromium oxide green ci ferric ammonium ferrocyanide ci ferric ferrocyanide ci manganese violet ci ultramarine ci yellow lake ci ilniln please aware ingredient list may change vary time time please refer ingredient list product package receive date list ingredient created extreme close shot l photo studio lash hide extreme lengthening formula take lash barely make em stare kick corner lash micro tip falsie effect micro defining brush nabs every lash wavelength fiber stretch stroke clumping smudging flaking move brush zigzag motion coat lash base tip formulated without parabens sodium lauryl sulfate phthalates fragrance talc ingredient water aqua eau beeswax cera alba cire abeille glyceryl stearate copernicia cerifera carnauba wax cera carnauba cire de carnauba synthetic beeswax acrylate copolymer c acid triglyceride ricinus communis castor seed oil stearic acid palmitic acid acacia senegal gum butylene glycol aminomethyl propanol pisum sativum pea extract glycerin laureth nylon hydroxyethylcellulose myristic acid behenic acid arachidic acid oleic acid sodium dehydroacetate phenoxyethanol sodium benzoate mica titanium dioxide ci iron oxide ci iron oxide ci iron oxide ci bismuth oxychloride ci blue lake ci carmine ci chromium hydroxide green ci chromium oxide green ci ferric ammonium ferrocyanide ci ferric ferrocyanide ci manganese violet ci ultramarine ci yellow lake ci ilniln please aware ingredient list may change vary time time please refer ingredient list product package receive date list ingredient
445,eye_makeup,ultra buildable mascara let easily take lash pg x rated second triple threat brush load maximum amount fiber loaded formula build look swipe lash isolated magnified mega coated hyper thick voluptuous lash photograph flawlessly close double dipping required forget prep always start photo finish lash primer extremely long wearing formula luscious lash day night triple threat brush isolates magnifies mega coat lash interlocking fiber loaded formula tripod fiber stack lash endless volume amplifies lift layer flake smudge free sweep lash base lay volume stroke ingredient water aqua eau kaolin acrylate ethylhexyl acrylate copolymer stearic acid myrica cerifera bayberry fruit wax silica polyisobutene glyceryl stearate paraffin aminomethyl propanediol polyvinyl acetate isostearic acid lecithin pantethine panthenol rosmarinus officinalis rosemary leaf extract olea europaea olive fruit oil olea europaea olive oil unsaponifiables cholesterol hydroxyethylcellulose hexanediol vp eicosene copolymer copernicia cerifera carnauba wax cera carnauba cire de carnauba laureth nylon sodium polyacrylate polysilicone laureth simethicone caprylyl glycol phenethyl alcohol hydrogenated olive oil disodium edta phenoxyethanol chloroxylenol mica titanium dioxide ci iron oxide ci iron oxide ci iron oxide ci bismuth oxychloride ci black ci blue ci blue lake ci carmine ci chromium hydroxide green ci chromium oxide green ci ultramarine ci yellow ci yellow lake ci ilniln please aware ingredient list may change vary time time please refer ingredient list product package receive date list ingredient ultra buildable mascara let easily take lash pg x rated second triple threat brush load maximum amount fiber loaded formula build look swipe lash isolated magnified mega coated hyper thick voluptuous lash photograph flawlessly close double dipping required forget prep always start photo finish lash primer extremely long wearing formula luscious lash day night triple threat brush isolates magnifies mega coat lash interlocking fiber loaded formula tripod fiber stack lash endless volume amplifies lift layer flake smudge free sweep lash base lay volume stroke ingredient water aqua eau kaolin acrylate ethylhexyl acrylate copolymer stearic acid myrica cerifera bayberry fruit wax silica polyisobutene glyceryl stearate paraffin aminomethyl propanediol polyvinyl acetate isostearic acid lecithin pantethine panthenol rosmarinus officinalis rosemary leaf extract olea europaea olive fruit oil olea europaea olive oil unsaponifiables cholesterol hydroxyethylcellulose hexanediol vp eicosene copolymer copernicia cerifera carnauba wax cera carnauba cire de carnauba laureth nylon sodium polyacrylate polysilicone laureth simethicone caprylyl glycol phenethyl alcohol hydrogenated olive oil disodium edta phenoxyethanol chloroxylenol mica titanium dioxide ci iron oxide ci iron oxide ci iron oxide ci bismuth oxychloride ci black ci blue ci blue lake ci carmine ci chromium hydroxide green ci chromium oxide green ci ultramarine ci yellow ci yellow lake ci ilniln please aware ingredient list may change vary time time please refer ingredient list product package receive date list ingredient
446,eye_makeup,rule l photo studio shoot without primer innovative formula lift lash new height amp volume make mascara last longer refresh revive midday lash primer layer fresh mascara dual sided brush comb coat separate prep amplifies mascara pay layer mascara apply root tip lash grooved bristle side brush define separate comb ingredient water aqua eau glyceryl stearate beeswax cera alba cire abeille glycerin copernicia cerifera carnauba wax cera carnauba cire de carnauba stearic acid pvp hydrolyzed soy protein triethanolamine hydroxyethylcellulose caprylyl glycol phenoxyethanol ilniln please aware ingredient list may change vary time time please refer ingredient list product package receive date list ingredient rule l photo studio shoot without primer innovative formula lift lash new height amp volume make mascara last longer refresh revive midday lash primer layer fresh mascara dual sided brush comb coat separate prep amplifies mascara pay layer mascara apply root tip lash grooved bristle side brush define separate comb ingredient water aqua eau glyceryl stearate beeswax cera alba cire abeille glycerin copernicia cerifera carnauba wax cera carnauba cire de carnauba stearic acid pvp hydrolyzed soy protein triethanolamine hydroxyethylcellulose caprylyl glycol phenoxyethanol ilniln please aware ingredient list may change vary time time please refer ingredient list product package receive date list ingredient
447,eye_makeup,l photo studio makeup artist always looking product deliver big visual impact short time developed waterproof crease resistant gel eye liner glide quickly easily worry tug pull delicate skin around eye gear create smudge proof line precisely defined eye second flat ready jet set go show liner extra love remember seal jar tightly immediately use avoid dry use eye liner brush arced liner brush tight line added impact formulated without parabens sodium lauryl sulfate phthalates fragrance talc ingredient isododecane polyethylene cyclopentasiloxane trimethylsiloxysilicate disteardimonium hectorite lecithin phenyl trimethicone hydrogenated polyisobutene barium sulfate propylene carbonate phenoxyethanol mica titanium dioxide ci iron oxide ci iron oxide ci iron oxide ci black ci bismuth oxychloride ci carmine ci chromium hydroxide green ci chromium oxide green ci ferric ammonium ferrocyanide ci ferric ferrocyanide ci manganese violet ci ultramarine ci ilniln please aware ingredient list may change vary time time please refer ingredient list product package receive date list ingredient l photo studio makeup artist always looking product deliver big visual impact short time developed waterproof crease resistant gel eye liner glide quickly easily worry tug pull delicate skin around eye gear create smudge proof line precisely defined eye second flat ready jet set go show liner extra love remember seal jar tightly immediately use avoid dry use eye liner brush arced liner brush tight line added impact formulated without parabens sodium lauryl sulfate phthalates fragrance talc ingredient isododecane polyethylene cyclopentasiloxane trimethylsiloxysilicate disteardimonium hectorite lecithin phenyl trimethicone hydrogenated polyisobutene barium sulfate propylene carbonate phenoxyethanol mica titanium dioxide ci iron oxide ci iron oxide ci iron oxide ci black ci bismuth oxychloride ci carmine ci chromium hydroxide green ci chromium oxide green ci ferric ammonium ferrocyanide ci ferric ferrocyanide ci manganese violet ci ultramarine ci ilniln please aware ingredient list may change vary time time please refer ingredient list product package receive date list ingredient
