,product_type,description
466,lipstick,"Smashbox Cosmetics has collaborated with the effortlessly cool and hilarious ""Barely Famous"" (VH1) sisters, Erin and Sara Foster, to celebrate the launch of the new Be Legendary Lipstick collection. The sisters personalized selections illustrates their unforgettable personalities and the enviable shades of the always photo ready lipstick. Sara chose a soft nude shade, Honey, while Erin chose Mandarin, a vibrant red orange. Both stay put and pop on camera, delivering rich, vibrant color in just 1 swipe.In a pinch, dot cream shades on cheeks for an instant flush.Available in nudes, neutrals, reds, corals, pinks, berries, browns, violets and bolds Pigment-loaded formula glides on and feels lush and light on the lips Moisturizing, satin-smooth creams soften and protect lips with shea butter + vitamins C and E Silky, vitamin-fortified mattes won't dry out or settle unevenly on lips
              
                Formulated without Parabens, Sodium Lauryl Sulfate, Phthalates, Fragrance & Talc.INGREDIENTS: PENTAERYTHRITYL TETRAISOSTEARATE , BIS-DIGLYCERYL POLYACYLADIPATE-2 , CAPRYLIC/CAPRIC TRIGLYCERIDE , OLEIC/LINOLEIC/LINOLENIC POLYGLYCERIDES , EUPHORBIA CERIFERA (CANDELILLA) WAX\CANDELILLA CERA\CIRE DE CANDELILLA , PVP/HEXADECENE COPOLYMER , DIPENTAERYTHRITYL HEXAHYDROXYSTEARATE/HEXASTEARATE/HEXAROSINATE , DIISOSTEARYL MALATE , POLYETHYLENE , HYDROGENATED POLYDECENE , POLYBUTENE , CETYL LACTATE , SYNTHETIC WAX , BUTYROSPERMUM PARKII (SHEA BUTTER) , TOCOPHEROL , TOCOPHERYL ACETATE , ASCORBYL PALMITATE , GLYCINE SOJA (SOYBEAN) SEED EXTRACT , OLEA EUROPAEA (OLIVE) FRUIT EXTRACT , CHAMOMILLA RECUTITA (MATRICARIA) FLOWER OIL , BEESWAX\CERA ALBA\CIRE D¿ABEILLE , COPERNICIA CERIFERA (CARNAUBA) WAX\CERA CARNAUBA\CIRE DE CARNAUBA , SYNTHETIC BEESWAX , CERAMIDE 3 , CHOLESTEROL , OCTYLDODECANOL , TRITICUM VULGARE (WHEAT) BRAN EXTRACT , POTASSIUM SULFATE , ALUMINA , CALCIUM ALUMINUM BOROSILICATE , CALCIUM SODIUM BOROSILICATE , TIN OXIDE , SILICA , OLEIC ACID , PALMITIC ACID , CETYL ALCOHOL , GLYCERYL STEARATE , ETHYLHEXYL HYDROXYSTEARATE , FLAVOR (AROMA) , VANILLIN , [+/- MICA , TITANIUM DIOXIDE (CI 77891) , IRON OXIDES (CI 77491) , IRON OXIDES (CI 77492) , IRON OXIDES (CI 77499) , BISMUTH OXYCHLORIDE (CI 77163) , BLUE 1 LAKE (CI 42090) , CARMINE (CI 75470) , RED 6 (CI 15850) , RED 21 (CI 45380) , RED 6 LAKE (CI 15850) , RED 7 LAKE (CI 15850) , RED 28 LAKE (CI 45410) , RED 30 LAKE (CI 73360) , RED 33 LAKE (CI 17200) , YELLOW 5 LAKE (CI 19140) , YELLOW 6 LAKE (CI 15985)]
                <ILN>
                  Please be aware that ingredient lists may change or vary from time to time. Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.
              
            Smashbox Cosmetics has collaborated with the effortlessly cool and hilarious ""Barely Famous"" (VH1) sisters, Erin and Sara Foster, to celebrate the launch of the new Be Legendary Lipstick collection. The sisters personalized selections illustrates their unforgettable personalities and the enviable shades of the always photo ready lipstick. Sara chose a soft nude shade, Honey, while Erin chose Mandarin, a vibrant red orange. Both stay put and pop on camera, delivering rich, vibrant color in just 1 swipe.In a pinch, dot cream shades on cheeks for an instant flush.Available in nudes, neutrals, reds, corals, pinks, berries, browns, violets and bolds Pigment-loaded formula glides on and feels lush and light on the lips Moisturizing, satin-smooth creams soften and protect lips with shea butter + vitamins C and E Silky, vitamin-fortified mattes won't dry out or settle unevenly on lips
              
                Formulated without Parabens, Sodium Lauryl Sulfate, Phthalates, Fragrance & Talc.INGREDIENTS: PENTAERYTHRITYL TETRAISOSTEARATE , BIS-DIGLYCERYL POLYACYLADIPATE-2 , CAPRYLIC/CAPRIC TRIGLYCERIDE , OLEIC/LINOLEIC/LINOLENIC POLYGLYCERIDES , EUPHORBIA CERIFERA (CANDELILLA) WAX\CANDELILLA CERA\CIRE DE CANDELILLA , PVP/HEXADECENE COPOLYMER , DIPENTAERYTHRITYL HEXAHYDROXYSTEARATE/HEXASTEARATE/HEXAROSINATE , DIISOSTEARYL MALATE , POLYETHYLENE , HYDROGENATED POLYDECENE , POLYBUTENE , CETYL LACTATE , SYNTHETIC WAX , BUTYROSPERMUM PARKII (SHEA BUTTER) , TOCOPHEROL , TOCOPHERYL ACETATE , ASCORBYL PALMITATE , GLYCINE SOJA (SOYBEAN) SEED EXTRACT , OLEA EUROPAEA (OLIVE) FRUIT EXTRACT , CHAMOMILLA RECUTITA (MATRICARIA) FLOWER OIL , BEESWAX\CERA ALBA\CIRE D¿ABEILLE , COPERNICIA CERIFERA (CARNAUBA) WAX\CERA CARNAUBA\CIRE DE CARNAUBA , SYNTHETIC BEESWAX , CERAMIDE 3 , CHOLESTEROL , OCTYLDODECANOL , TRITICUM VULGARE (WHEAT) BRAN EXTRACT , POTASSIUM SULFATE , ALUMINA , CALCIUM ALUMINUM BOROSILICATE , CALCIUM SODIUM BOROSILICATE , TIN OXIDE , SILICA , OLEIC ACID , PALMITIC ACID , CETYL ALCOHOL , GLYCERYL STEARATE , ETHYLHEXYL HYDROXYSTEARATE , FLAVOR (AROMA) , VANILLIN , [+/- MICA , TITANIUM DIOXIDE (CI 77891) , IRON OXIDES (CI 77491) , IRON OXIDES (CI 77492) , IRON OXIDES (CI 77499) , BISMUTH OXYCHLORIDE (CI 77163) , BLUE 1 LAKE (CI 42090) , CARMINE (CI 75470) , RED 6 (CI 15850) , RED 21 (CI 45380) , RED 6 LAKE (CI 15850) , RED 7 LAKE (CI 15850) , RED 28 LAKE (CI 45410) , RED 30 LAKE (CI 73360) , RED 33 LAKE (CI 17200) , YELLOW 5 LAKE (CI 19140) , YELLOW 6 LAKE (CI 15985)]
                <ILN>
                  Please be aware that ingredient lists may change or vary from time to time. Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.
              
            "
467,lipstick,"Makeup artists in our L.A. studio were constantly blending colors to achieve lipstick nirvana. That’s why we expanded the line to include 120 jaw-dropping shades! Our creams and mattes stay put and pop on camera, delivering rich, vibrant color in just 1 swipe.In a pinch, dot cream shades on cheeks for an instant flush.Available in nudes, neutrals, reds, corals, pinks, berries, browns, violets and bolds Pigment-loaded formula glides on and feels lush and light on the lips Moisturizing, satin-smooth creams soften and protect lips with shea butter + vitamins C and E Silky, vitamin-fortified mattes won’t dry out or settle unevenly on lips
              
                Formulated without Parabens, Sodium Lauryl Sulfate, Phthalates, Fragrance & Talc.INGREDIENTS: PENTAERYTHRITYL TETRAISOSTEARATE , BIS-DIGLYCERYL POLYACYLADIPATE-2 , CAPRYLIC/CAPRIC TRIGLYCERIDE , OLEIC/LINOLEIC/LINOLENIC POLYGLYCERIDES , EUPHORBIA CERIFERA (CANDELILLA) WAX\CANDELILLA CERA\CIRE DE CANDELILLA , PVP/HEXADECENE COPOLYMER , DIPENTAERYTHRITYL HEXAHYDROXYSTEARATE/HEXASTEARATE/HEXAROSINATE , DIISOSTEARYL MALATE , POLYETHYLENE , HYDROGENATED POLYDECENE , POLYBUTENE , CETYL LACTATE , SYNTHETIC WAX , BUTYROSPERMUM PARKII (SHEA BUTTER) , TOCOPHEROL , TOCOPHERYL ACETATE , ASCORBYL PALMITATE , GLYCINE SOJA (SOYBEAN) SEED EXTRACT , OLEA EUROPAEA (OLIVE) FRUIT EXTRACT , CHAMOMILLA RECUTITA (MATRICARIA) FLOWER OIL , BEESWAX\CERA ALBA\CIRE D¿ABEILLE , COPERNICIA CERIFERA (CARNAUBA) WAX\CERA CARNAUBA\CIRE DE CARNAUBA , SYNTHETIC BEESWAX , CERAMIDE 3 , CHOLESTEROL , OCTYLDODECANOL , TRITICUM VULGARE (WHEAT) BRAN EXTRACT , POTASSIUM SULFATE , ALUMINA , CALCIUM ALUMINUM BOROSILICATE , CALCIUM SODIUM BOROSILICATE , TIN OXIDE , SILICA , OLEIC ACID , PALMITIC ACID , CETYL ALCOHOL , GLYCERYL STEARATE , ETHYLHEXYL HYDROXYSTEARATE , FLAVOR (AROMA) , VANILLIN , [+/- MICA , TITANIUM DIOXIDE (CI 77891) , IRON OXIDES (CI 77491) , IRON OXIDES (CI 77492) , IRON OXIDES (CI 77499) , BISMUTH OXYCHLORIDE (CI 77163) , BLUE 1 LAKE (CI 42090) , CARMINE (CI 75470) , RED 6 (CI 15850) , RED 21 (CI 45380) , RED 6 LAKE (CI 15850) , RED 7 LAKE (CI 15850) , RED 28 LAKE (CI 45410) , RED 30 LAKE (CI 73360) , RED 33 LAKE (CI 17200) , YELLOW 5 LAKE (CI 19140) , YELLOW 6 LAKE (CI 15985)]
                <ILNILN40008>
                  Please be aware that ingredient lists may change or vary from time to time. Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.
              
            Makeup artists in our L.A. studio were constantly blending colors to achieve lipstick nirvana. That’s why we expanded the line to include 120 jaw-dropping shades! Our creams and mattes stay put and pop on camera, delivering rich, vibrant color in just 1 swipe.In a pinch, dot cream shades on cheeks for an instant flush.Available in nudes, neutrals, reds, corals, pinks, berries, browns, violets and bolds Pigment-loaded formula glides on and feels lush and light on the lips Moisturizing, satin-smooth creams soften and protect lips with shea butter + vitamins C and E Silky, vitamin-fortified mattes won’t dry out or settle unevenly on lips
              
                Formulated without Parabens, Sodium Lauryl Sulfate, Phthalates, Fragrance & Talc.INGREDIENTS: PENTAERYTHRITYL TETRAISOSTEARATE , BIS-DIGLYCERYL POLYACYLADIPATE-2 , CAPRYLIC/CAPRIC TRIGLYCERIDE , OLEIC/LINOLEIC/LINOLENIC POLYGLYCERIDES , EUPHORBIA CERIFERA (CANDELILLA) WAX\CANDELILLA CERA\CIRE DE CANDELILLA , PVP/HEXADECENE COPOLYMER , DIPENTAERYTHRITYL HEXAHYDROXYSTEARATE/HEXASTEARATE/HEXAROSINATE , DIISOSTEARYL MALATE , POLYETHYLENE , HYDROGENATED POLYDECENE , POLYBUTENE , CETYL LACTATE , SYNTHETIC WAX , BUTYROSPERMUM PARKII (SHEA BUTTER) , TOCOPHEROL , TOCOPHERYL ACETATE , ASCORBYL PALMITATE , GLYCINE SOJA (SOYBEAN) SEED EXTRACT , OLEA EUROPAEA (OLIVE) FRUIT EXTRACT , CHAMOMILLA RECUTITA (MATRICARIA) FLOWER OIL , BEESWAX\CERA ALBA\CIRE D¿ABEILLE , COPERNICIA CERIFERA (CARNAUBA) WAX\CERA CARNAUBA\CIRE DE CARNAUBA , SYNTHETIC BEESWAX , CERAMIDE 3 , CHOLESTEROL , OCTYLDODECANOL , TRITICUM VULGARE (WHEAT) BRAN EXTRACT , POTASSIUM SULFATE , ALUMINA , CALCIUM ALUMINUM BOROSILICATE , CALCIUM SODIUM BOROSILICATE , TIN OXIDE , SILICA , OLEIC ACID , PALMITIC ACID , CETYL ALCOHOL , GLYCERYL STEARATE , ETHYLHEXYL HYDROXYSTEARATE , FLAVOR (AROMA) , VANILLIN , [+/- MICA , TITANIUM DIOXIDE (CI 77891) , IRON OXIDES (CI 77491) , IRON OXIDES (CI 77492) , IRON OXIDES (CI 77499) , BISMUTH OXYCHLORIDE (CI 77163) , BLUE 1 LAKE (CI 42090) , CARMINE (CI 75470) , RED 6 (CI 15850) , RED 21 (CI 45380) , RED 6 LAKE (CI 15850) , RED 7 LAKE (CI 15850) , RED 28 LAKE (CI 45410) , RED 30 LAKE (CI 73360) , RED 33 LAKE (CI 17200) , YELLOW 5 LAKE (CI 19140) , YELLOW 6 LAKE (CI 15985)]
                <ILNILN40008>
                  Please be aware that ingredient lists may change or vary from time to time. Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.
              
            "
468,lipstick,"Perfected on-set in our L.A. photo studio, our long-wear, water-resistant liquid lipstick features Advanced Polymer Technology that makes it stay put and look as fresh and flawless as your first swipe—for up to 8 hours. Featherweight but fierce, this liquid matte formula is infused with lip-smoothing Primer Oil complex for suede-soft lip color in 20 super-rad shades. It’s smudge-proof, budge-proof and non-feathering. Because really, who has time for touch-ups? LILLY SINGH + SMASHBOXMegastar Lilly Singh is a comedian, artist and all-around entertainer who inspires her eight million YouTube subscribers to be a ""Bawse."" The second we met her, we knew we had to collaborate. We bottled her smart, funny vibe and created Bawse, Lilly's own signature shade of our Always On Liquid Lipstick. This no-rules red is fierce, featherweight and looks as fresh as your first swipe for eight hours. Wear it whenever you want to make things happen.The only matte liquid lipstick infused with Smashbox Primer Oil complex to keep it comfortableAdvanced Polymer Technology makes it stay put and look as fresh and flawless as the first swipePrecision tip applicator lines and fills with one swipe of our no-drop reservoirBudge-proof, non-feathering and water-resistantTo use: Define lip with precise tip and fill in with color. Wipe off with oil-based remover.  
              
                Formulated without Parabens, Sodium Lauryl Sulfate, Phthalates, Fragrance & Talc.INGREDIENTS: Isododecane, Dimethicone, Trimethylsiloxysilicate, Polybutene, Petrolatum, Cyclohexasiloxane, Kaolin, Disteardimonium Hectorite, Beeswax\Cera Alba\Cire d'Abeille, Silica Dimethyl Silylate, Glyceryl Behenate/Eicosadioate, Tocopheryl Acetate, Propylene Carbonate, Helianthus Annuus (Sunflower) Seed Oil, Prunus Armeniaca (Apricot) Kernel Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Cyclopentasiloxane, Flavor (Aroma), Caprylyl Glycol, Hexylene Glycol, Phenoxyethanol, [+/- Blue 1 Lake (CI 42090), Carmine (CI 75470), Iron Oxides (CI 77491), Iron Oxides (CI 77492), Iron Oxides (CI 77499), Mica, Red 6 (CI 15850), Red 7 Lake (CI 15850), Red 22 Lake (CI 45380), Red 28 (CI 45410), Red 28 Lake (CI 45410), Red 30 (CI 73360), Red 30 Lake (CI 73360), Red 33 Lake (CI 17200), Titanium Dioxide (CI 77891), Yellow 5 Lake (CI 19140), Yellow 6 Lake (CI 15985)] 
                <ILNILN42556>
                  Please be aware that ingredient lists may change or vary from time to time. Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.
              
            Perfected on-set in our L.A. photo studio, our long-wear, water-resistant liquid lipstick features Advanced Polymer Technology that makes it stay put and look as fresh and flawless as your first swipe—for up to 8 hours. Featherweight but fierce, this liquid matte formula is infused with lip-smoothing Primer Oil complex for suede-soft lip color in 20 super-rad shades. It’s smudge-proof, budge-proof and non-feathering. Because really, who has time for touch-ups? LILLY SINGH + SMASHBOXMegastar Lilly Singh is a comedian, artist and all-around entertainer who inspires her eight million YouTube subscribers to be a ""Bawse."" The second we met her, we knew we had to collaborate. We bottled her smart, funny vibe and created Bawse, Lilly's own signature shade of our Always On Liquid Lipstick. This no-rules red is fierce, featherweight and looks as fresh as your first swipe for eight hours. Wear it whenever you want to make things happen.The only matte liquid lipstick infused with Smashbox Primer Oil complex to keep it comfortableAdvanced Polymer Technology makes it stay put and look as fresh and flawless as the first swipePrecision tip applicator lines and fills with one swipe of our no-drop reservoirBudge-proof, non-feathering and water-resistantTo use: Define lip with precise tip and fill in with color. Wipe off with oil-based remover.  
              
                Formulated without Parabens, Sodium Lauryl Sulfate, Phthalates, Fragrance & Talc.INGREDIENTS: Isododecane, Dimethicone, Trimethylsiloxysilicate, Polybutene, Petrolatum, Cyclohexasiloxane, Kaolin, Disteardimonium Hectorite, Beeswax\Cera Alba\Cire d'Abeille, Silica Dimethyl Silylate, Glyceryl Behenate/Eicosadioate, Tocopheryl Acetate, Propylene Carbonate, Helianthus Annuus (Sunflower) Seed Oil, Prunus Armeniaca (Apricot) Kernel Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Cyclopentasiloxane, Flavor (Aroma), Caprylyl Glycol, Hexylene Glycol, Phenoxyethanol, [+/- Blue 1 Lake (CI 42090), Carmine (CI 75470), Iron Oxides (CI 77491), Iron Oxides (CI 77492), Iron Oxides (CI 77499), Mica, Red 6 (CI 15850), Red 7 Lake (CI 15850), Red 22 Lake (CI 45380), Red 28 (CI 45410), Red 28 Lake (CI 45410), Red 30 (CI 73360), Red 30 Lake (CI 73360), Red 33 Lake (CI 17200), Titanium Dioxide (CI 77891), Yellow 5 Lake (CI 19140), Yellow 6 Lake (CI 15985)] 
                <ILNILN42556>
                  Please be aware that ingredient lists may change or vary from time to time. Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.
              
            "
469,bronzer,"Use the Marcelle Quad Bronzer for the perfect shimmery finish.This unique, shimmery formula, enriched with Aloe Vera, comes in a quad of 4 different shades that can be blended together to get a sun-kissed glow all year long. Use the lighter shades separately for a hint of bronze or the darker shades for a stronger tan.You can also use it to play with face sculpting and contouring effects to play up your best features."
470,bronzer,"The perfect complement to all skin tones, Stay All Day Bronzer is a lightweight, matte-satin powder that is ideal for accenting the face and body to perfection. Features are sculpted and shaped with long-wearing pigments that blend effortlessly for a natural-looking result.  This sun-kissed, bronze hue adds a touch of sun for a healthy glow all year round. Features:Velvety texture blends seamlessly onto the face and body with no streaking or cakingFade proof color stays true all day without oxidizingBuildable coverageOil-free, water-resistant formulaJumbo pan size allows for effortless brush applicationIngredients: Silica, Polymethyl Methacrylate, Octylodecyl Stearoyl Stearate, Ethylene/Acrylic Acid Copolymer, Pentaerythrityl Tetraisostearate, Hydrogen Dimethicone, Isopropyl Isostearate, Zinc Stearate, Magnesium Myristate, Diisostearyl Malate, Zinc Oxide, Ethylhexyl Methoxycinnamate, Triethoxycaprylylsilane, Caprylyl Glycol, Phenoxyethanol, Sorbic Acid, Mica. (+/-) Iron Oxides. (CI 77491, CI 77492, CI 77499) "
471,bronzer,"Mineral Fusion Sheer Moisture Lip Tint is a silky bronzer that blends flawlessly into the skin and lasts all day, adding a natural, flattering warmth to the complexion for a healthy, sunkissed glow.  The combination of Pomegranate, Red Tea, White Tea plus Vitamins C and E defends against free radical damage and gives skin a healthy radiance.  Formulated with only the safest, most gentle ingredients, the natural UV protection of minerals, plus skin-soothing Aloe Vera.  Great for use on all skin types.Features:Duo of matte bronzer and shimmering highlighterSunkissed GlowAge-DefyingSkin-SoothingFree of artificial colour and fragranceCruelty FreeParaben FreeTalc FreeHypo-allergenicPhthalate FreeIngredients: Mica, Zinc Stearate, Octyldodecyl Stearoyl Stearate, Titanium Dioxide, Caprylic/Capric Triglyceride, Tocopheryl Acetate (Vitamin E), Ascorbyl Palmitate (Vitamin C), Camellia Sinensis (White Tea) Leaf Extract, Aspalathus Linearis (Rooibos Red Tea) Leaf Extract, Punica Granatum (Pomegranate) Extract, Aloe Barbadensis (Aloe Vera) Leaf Extract, Sambucus Nigra Fruit Extract, Lauroyl Lysine. MAY CONTAIN (+/-): Iron Oxide.Gluten Free, Vegan"
472,bronzer,"NYX Mosaic Powder Blush is a medley of that creates a flush of color and dazzling glow for every skin tone. Features:Five shades in one palette, this blush is bright pink with gold shimmerWorks as blush and highlighterFlattering on every skin toneUse to highlight, enhance & brighten Each mosaic of color blends beautifully with magical results"
473,bronzer,"Saint Cosmetics' velvety smooth bronzing formulation gives the skin a soft, healthy and naturally radiant skin.Features:Comes in a range of shades to enhance all complexionsLong- lastingProvides skin with a sun-kissed healthy glowMade in Canada from naturally derived ingredientsChemical Free, Vegan, Gluten Free"
474,bronzer,"
        Marcelle Monochromatic Bronzer gives you a touch of sun for a radiant complexion!
Enjoy a sun-kissed complexion all year long without experiencing the 
sun's harmful effects! Marcelle's versatile bronzer let you choose your
 how you want to look: enjoy the look of a luminous bronze goddess or a 
more natural healthy looking complexion. Let your beauty glow with 
Marcelle's hypoallergenic and perfume-free bronzer!
Without preservatives or parabens.    "
475,bronzer,"Bronzed to perfection! Get sun-kissed, radiant skin in seconds with this
 Annabelle Biggy Bronzer mix of bronze and golden shades."
476,bronzer,"Dr. Hauschka Bronzing Powder Compact blends easily with any skin tone, an ultra-fine bronzer for a sun-kissed glow. Gentle and nurturing enough for the most sensitive skin.  Features:Silk, anthyllis, witch hazel and sage contour and smooth the complexion for a flawless look.Truly natural and organic cosmetics, certified to NATRUE and/or BDIH standardsFree from chemical/synthetic fragrances and preservativesFree from mineral oils, parabens, silicone and PEGDermatologically tested for sensitive skinWherever possible, all raw materials come from controlled organic or Demeter cultivation and are recovered under fair conditionsIngredients: Talc, Diatomaceous Earth (Solum Diatomeae), Daucus Carota Sativa (Carrot) Root Extract, Silk (Serica) Powder , Kaolin, Anthyllis Vulneraria Extract, Magnesium Stearate, Simmondsia Chinensis (Jojoba) Seed Oil, Mica, Hamamelis Virginiana (Witch Hazel) Bark/Leaf Extract, Silica, Salvia Officinalis (Sage) Leaf Extract, Camellia Sinensis (Black Tea) Leaf Extract, Fragrance (Essential Oil), Limonene*, Linalool*, Citronellol*, Geraniol*, Coumarin*, Citral*, Benzyl Benzoate*, Eugenol*, Tocopherol, Ascorbyl Dipalmitate, Iron Oxides (CI 77491, CI 77942, CI 77499), Titanium Dioxide (CI 77891)"
477,bronzer,"Featuring InstaFilter Technology, a proprietary blend of mattifying and pore balancing spherical beads, color filter pigments and high-tech polymers that work together to instantly optimize light reflection, blur imperfections and visibly retexturize skin.#SunkissedGlow: Ultra-lightweight, multi-colored bronzer delivers a multi-dimensional glow that captures, diffuses and softens the reflection of light on your skin for the ultimate sunkissed glow. Features:Velvety-soft texture instantly melts into skinContains dial-sphere particles that absorb oil but not moistureCreates a smooth, skin-perfecting radiant tan glowDirections: May be worn alone or over makeup. Lightly brush powder over face and neck for a natural-looking tan glow. To accentuate and contour, apply more over cheekbones. For the most even application, be sure to tap excess powder from brush before applying. Ingredients: Ingredients: Talc, Caprylic/Capric Triglyceride, Mica, Nylon-12, Silica, Calcium Aluminum Borosilicate, Lauroyl Lysine, Dimethicone, Aluminum Chlorohydrate, Fomes Officinalis (Mushroom) Extract, Alumina, Butylene Glycol, Methyl Methacrylate Crosspolymer, PEG-40 Hydrogenated Castor Oil, Tin Oxide, Triethoxycaprylylsilane, Phenoxyethanol, Ethylhexylglycerin, Benzoic Acid, Dehydroacetic Acid "
478,bronzer,"How do you make a good thing better? By making it bigger! This 
oversized version of our  best selling and award-winning Medium Bronzer 
has been designed to be used on the face and body without messy orange 
streaks.
 
Features and Benefits
 Designed to be used on the face and body without streaking.Sheer and layerable texture for a natural look – no more messy brown streaks.Light reflective particles give a radiant glow to the skin all year round.How to Use: Using a large fluff brush apply over the areas of the face that are 
naturally touched by the sun like the apples of the cheeks, the upper 
cheekbones, forehead and along the jaw line
 For natural looking results without any streaking use a circular buffing actionIngredients: Talc, Mica, Zinc Stearate, Octyldodecyl Stearoyl Stearate, Octyldodecyl 
Stearate, Polyethylene, Boron Nitride, Phenoxyethanol, Silica, 
Tocopheryl Acetate, PTFE, Carthamus Tinctorius (Safflower) Seed Oil, 
Isopropylparaben, Isobutylparaben, Butylparaben, Tin Oxide, Aloe 
Barbadensis (Leaf) Extract. May Contain: CI 77891 (Titanium Dioxide), CI 15850 (Red 7 Lake), CI 77491/CI 77492/CI 77499 (Iron Oxides)


"
479,bronzer,"NO messy brown streaks!!  A favorite with professional make-up 
artists and celebrities Cargo's bronzer glides easily over the skin for a 
beautiful sun-kissed look. It can be layered to the desired 
bronze look. Plus the signature, sleek oversized tin offers a large surface 
area for easy, even application of colour.
 
Features:
A favorite with professional make-up artists, celebrities and clientsGlides easily over the skin for a beautiful sun-kissed lookColor can be built to the desired strength on the skin – NO messy brown streaks!!   The signature, sleek oversized tin offers a large surface area for easy, even application of colorHow to Use: Using
 a large fluff brush apply over the areas of the face that are naturally
 touched by the sun like the apples of the cheeks, the upper cheekbones,
 forehead and along the jaw line For natural looking results without any streaking use a circular buffing actionIngredients: Mica, Talc, Nylon-12, Zinc Stearate, Dimethicone, Squalane, Aluminum 
Starch, Octenysuccinate, Polyethylene, Octyldodecyl Stearoyl Stearate, 
Kaolin, Trimethylsiloxysilicate, Butylparaben, Methicone, Mineral Oil. May Contain(+/-): Titanium Dioxide, Iron Oxides.
"
480,bronzer,"NO messy brown streaks!!  A favorite with professional make-up 
artists and celebrities Cargo's bronzer glides easily over the skin for a 
beautiful sun-kissed look. Subtle
 hints of shimmer add a radiant and youthful glow to the skin, while 
softening the appearance of the skin. This bronzer can be layered to the desired 
bronze look. Cargo's signature, sleek oversized tin offers a large surface 
area for easy, even application of colour.
 
Features:
A favorite with professional make-up artists, celebrities and clientsGlides easily over the skin for a beautiful sun-kissed lookSubtle hints of shimmer add a radiant and youthful glow to the skin, while softening the appearance of the skinColor can be built to the desired strength on the skin – NO messy brown streaks!!   The signature, sleek oversized tin offers a large surface area for easy, even application of colorShade Range: Ingredients: Mica, Talc, Nylon-12, Zinc Stearate, Dimethicone, Squalane, Aluminum 
Starch, Octenysuccinate, Polyethylene, Octyldodecyl Stearoyl Stearate, 
Kaolin, Trimethylsiloxysilicate, Butylparaben, Methicone, Mineral Oil. May Contain(+/-): Titanium Dioxide, Iron Oxides."
481,bronzer,"CoverGirl's New truBLEND Bronzer has a marble-baked formula that blends instantly with skin making bronzer lines a thing of the past.Features:Baked blend of colors for the perfect glowBaked to get the perfect bronze for every skin toneBlends instantly, no bronzer linesSuitable for sensitive skin How to Apply: Step 1: Lightly dip brush into bronzer, being careful to tap or blow off excess powder. Step 2: Next, sweep the bronzer over cheeks and temples to create a warm, even, sun-kissed glow. "
482,bronzer,"Physicians Formula Argan Wear Ultra-Nourishing Argan Oil Bronzer is infused with 100% Pure Argan Oil, known as ""liquid gold"" for its rich conditioning benefits that can improve skin's brightness, tone, texture and elasticity. This magical ingredient from Morocco transforms skin, smoothing the appearance of fine lines, brightening dull skin and renewing suppleness, helping to enhance skin's youthful glow.Features: Exotically scented formula instantly creates a lit-from-within glowHypoallergenicGluten & Paraben freeNon-comedogenicDermatologist approvedDirections: May be worn alone or over makeup.  Lightly brush powder over face and neck for a natural looking tan glow.  For an exotic glow, apply more over cheekbones.  For the most even application, be sure to tap excess powder from brush before applying.Ingredients: Talc, Mica, Isostearyl Neopentanoate, Fragrance, Polybutene, Argania Spinosa (Argan) Kernel Oil, Ascorbyl Palmitate, C12-15 Alkyl Benzoate, Calcium Sodium Borosilicate, Citric Acid, Glyceryl Oleate, Glyceryl Stearate, Isopropyl Isostearate, Lecithin, Tin Oxide, Tocopherol, Tocopheryl Acetate, Caprylyl Glycol, Hexylene Glycol, Phenoxyethanol. May Contain: Iron Oxides, Titanium Dioxide."
483,bronzer,"This beautiful e.l.f. Bronzer Palette holds 4 gorgeous shades to mix and match throughout the year for a custom-blended glow.  With a mixture of matte and shimmer finishes, you can achieve a professional look every time.  The pigmented colours are great for contouring, shading, sculpting, and highlighting.How To Use: For a contoured look, coose desire shade and apply colour by tracing a ""figure 3"" on the outer side of the face from the forehead down towards the cheeks and downward along the jawline. For a sun-kissed glow, apply a little colour onto the forehead, nose, cheekbones, and chin.  Make sure to blend out any lines for a natural look. Ingredients: Mica, Talc, Ethylhexyl Palmitate, Silica, Nylon-12, PTFE, Zinc Stearate, Dimethicone, Tocopheryl Acetate (Ve). MAY CONTAIN: Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499), Manganese Violet (CI 77742)."
484,bronzer,"Maybelline Face Studio Master Hi-Light Light Boosting bronzer formula has an expert 
balance of shade + shimmer illuminator for natural glow. Skin goes 
soft-lit with zero glitz.

		For Best Results: Brush over all shades in palette and gently sweep over 
cheekbones, brow bones, and temples, or anywhere light naturally touches
 the face.

		
	

                    "
485,bronzer,Fake Bake Beauty Bronzer is paraben free and is perfect for an all over glow!Colour: 
